,,Vaud,Aigle,Broye-Vully,Gros-de-Vaud,Jura-Nord,Lausanne,Lavaux-Oron,Morges,Nyon,Ouest lausannois,Riviera,Etranger,,La Vallée,Yverdon,Lausanne-Ville,Romanel,Pays d’en Haut,Vevey
Libres,Libres,41401,2135,1210,2232,3498,5730,5976,3843,6594,2796,6573,814,,220,3278,3997,1733,227,6346
PPVD,PPVD,27136,1234,1134,1682,3091,5563,2338,2821,3873,1966,2433,1001,,205,2886,4536,1027,75,2358
