OFS,Communes,Districts
5723,Mies,Nyon
5821,Missy,Broye-Vully
5490,Moiry,Morges
5431,Mollens,Morges
5921,Molondin,Jura-Nord vaudois
5922,Montagny-près-Yverdon,Jura-Nord vaudois
5693,Montanaire,Gros-de-Vaud
5756,Montcherand,Jura-Nord vaudois
5540,Montilliez,Gros-de-Vaud
5491,Mont-la-Ville,Morges
5792,Montpreveyres,Lavaux-Oron
5886,Montreux,Riviera-Pays d'Enhaut
5492,Montricher,Morges
5859,Mont-sur-Rolle,Nyon
5642,Morges,Morges
5527,Morrens,Gros-de-Vaud
5678,Moudon,Broye-Vully
5563,Mutrux,Jura-Nord vaudois
5564,Novalles,Jura-Nord vaudois
5408,Noville,Aigle
5724,Nyon,Nyon
5680,Ogens,Gros-de-Vaud
5409,Ollon,Aigle
5565,Onnens,Jura-Nord vaudois
5923,Oppens,Gros-de-Vaud
5757,Orbe,Jura-Nord vaudois
5924,Orges,Jura-Nord vaudois
5410,Ormont-Dessous,Aigle
5411,Ormont-Dessus,Aigle
5493,Orny,Morges
5805,Oron,Lavaux-Oron
5925,Orzens,Jura-Nord vaudois
5529,Oulens-sous-Echallens,Gros-de-Vaud
5530,Pailly,Gros-de-Vaud
5588,Paudex,Lavaux-Oron
5822,Payerne,Broye-Vully
5495,Penthalaz,Gros-de-Vaud
5496,Penthaz,Gros-de-Vaud
5531,Penthéréaz,Gros-de-Vaud
5860,Perroy,Nyon
5533,Poliez-Pittet,Gros-de-Vaud
5497,Pompaples,Morges
5926,Pomy,Jura-Nord vaudois
5725,Prangins,Nyon
5759,Premier,Jura-Nord vaudois
5643,Préverenges,Morges
5683,Prévonloup,Broye-Vully
5589,Prilly,Ouest lausannois
5566,Provence,Jura-Nord vaudois
5607,Puidoux,Lavaux-Oron
5590,Pully,Lavaux-Oron
5760,Rances,Jura-Nord vaudois
5591,Renens,Ouest lausannois
5412,Rennaz,Aigle
5609,Rivaz,Lavaux-Oron
5413,Roche,Aigle
5861,Rolle,Nyon
5761,Romainmôtier-Envy,Jura-Nord vaudois
5592,Romanel-sur-Lausanne,Lausanne
5645,Romanel-sur-Morges,Morges
5798,Ropraz,Broye-Vully
5684,Rossenges,Broye-Vully
5842,Rossinière,Riviera-Pays d'Enhaut
5843,Rougemont,Riviera-Pays d'Enhaut
5928,Rovray,Jura-Nord vaudois
5534,Rueyres,Gros-de-Vaud
5535,Saint-Barthélemy,Gros-de-Vaud
5727,Saint-Cergue,Nyon
5568,Sainte-Croix,Jura-Nord vaudois
5434,Saint-George,Nyon
5435,Saint-Livres,Morges
5436,Saint-Oyens,Morges
5646,Saint-Prex,Morges
5610,Saint-Saphorin (Lavaux),Lavaux-Oron
5648,Saint-Sulpice,Ouest lausannois
5437,Saubraz,Morges
5611,Savigny,Lavaux-Oron
5499,Senarclens,Morges
5762,Sergey,Jura-Nord vaudois
5799,Servion,Lavaux-Oron
5728,Signy-Avenex,Nyon
5929,Suchy,Jura-Nord vaudois
5501,Sullens,Gros-de-Vaud
5930,Suscévaz,Jura-Nord vaudois
5688,Syens,Broye-Vully
5729,Tannay,Nyon
5862,Tartegnin,Nyon
5571,Tévenon,Jura-Nord vaudois
5649,Tolochenaz,Morges
5730,Trélex,Nyon
5827,Trey,Broye-Vully
5931,Treycovagnes,Jura-Nord vaudois
5828,Treytorrens (Payerne),Broye-Vully
5932,Ursins,Jura-Nord vaudois
5831,Valbroye,Broye-Vully
5933,Valeyres-sous-Montagny,Jura-Nord vaudois
5763,Valeyres-sous-Rances,Jura-Nord vaudois
5934,Valeyres-sous-Ursins,Jura-Nord vaudois
5764,Vallorbe,Jura-Nord vaudois
5765,Vaulion,Jura-Nord vaudois
5650,Vaux-sur-Morges,Morges
5890,Vevey,Riviera-Pays d'Enhaut
5891,Veytaux,Riviera-Pays d'Enhaut
5732,Vich,Nyon
5935,Villars-Epeney,Jura-Nord vaudois
5690,Villars-le-Comte,Broye-Vully
5537,Villars-le-Terroir,Gros-de-Vaud
5651,Villars-Sainte-Croix,Ouest lausannois
5652,Villars-sous-Yens,Morges
