OFS,Communes,Arrondissements
5680,Ogens,Gros-de-Vaud
5409,Ollon,Aigle
5565,Onnens,Yverdon
5923,Oppens,Gros-de-Vaud
5757,Orbe,Yverdon
5924,Orges,Yverdon
5410,Ormont-Dessous,Aigle
5411,Ormont-Dessus,Aigle
5493,Orny,Morges
5805,Oron,Lavaux-Oron
5925,Orzens,Yverdon
5529,Oulens-sous-Echallens,Gros-de-Vaud
5530,Pailly,Gros-de-Vaud
5588,Paudex,Lavaux-Oron
5822,Payerne,Broye-Vully
5495,Penthalaz,Gros-de-Vaud
5496,Penthaz,Gros-de-Vaud
5531,Penthéréaz,Gros-de-Vaud
5860,Perroy,Nyon
5533,Poliez-Pittet,Gros-de-Vaud
5497,Pompaples,Morges
5926,Pomy,Yverdon
5725,Prangins,Nyon
5759,Premier,Yverdon
5643,Préverenges,Morges
5683,Prévonloup,Broye-Vully
5589,Prilly,Ouest lausannois
5566,Provence,Yverdon
5607,Puidoux,Lavaux-Oron
5590,Pully,Lavaux-Oron
5760,Rances,Yverdon
5591,Renens,Ouest lausannois
5412,Rennaz,Aigle
5609,Rivaz,Lavaux-Oron
5413,Roche,Aigle
5861,Rolle,Nyon
5761,Romainmôtier-Envy,Yverdon
5592,Romanel-sur-Lausanne,Romanel
5645,Romanel-sur-Morges,Morges
5798,Ropraz,Broye-Vully
5684,Rossenges,Broye-Vully
5842,Rossinière,Pays d’en Haut
5843,Rougemont,Pays d’en Haut
5928,Rovray,Yverdon
5534,Rueyres,Gros-de-Vaud
5535,Saint-Barthélemy,Gros-de-Vaud
5727,Saint-Cergue,Nyon
5568,Sainte-Croix,Yverdon
5434,Saint-George,Nyon
5435,Saint-Livres,Morges
5436,Saint-Oyens,Morges
5646,Saint-Prex,Morges
5610,Saint-Saphorin (Lavaux),Lavaux-Oron
5648,Saint-Sulpice,Ouest lausannois
5437,Saubraz,Morges
5611,Savigny,Lavaux-Oron
5499,Senarclens,Morges
5762,Sergey,Yverdon
5799,Servion,Lavaux-Oron
5728,Signy-Avenex,Nyon
5929,Suchy,Yverdon
5501,Sullens,Gros-de-Vaud
5930,Suscévaz,Yverdon
5688,Syens,Broye-Vully
5729,Tannay,Nyon
5862,Tartegnin,Nyon
5571,Tévenon,Yverdon
5649,Tolochenaz,Morges
5730,Trélex,Nyon
5827,Trey,Broye-Vully
5931,Treycovagnes,Yverdon
5828,Treytorrens (Payerne),Broye-Vully
5932,Ursins,Yverdon
5831,Valbroye,Broye-Vully
5933,Valeyres-sous-Montagny,Yverdon
5763,Valeyres-sous-Rances,Yverdon
5934,Valeyres-sous-Ursins,Yverdon
5764,Vallorbe,Yverdon
5765,Vaulion,Yverdon
5650,Vaux-sur-Morges,Morges
5890,Vevey,Vevey
5891,Veytaux,Vevey
5732,Vich,Nyon
5935,Villars-Epeney,Yverdon
5690,Villars-le-Comte,Broye-Vully
5537,Villars-le-Terroir,Gros-de-Vaud
5651,Villars-Sainte-Croix,Ouest lausannois
5652,Villars-sous-Yens,Morges
5830,Villarzel,Broye-Vully
5414,Villeneuve,Aigle
5863,Vinzel,Nyon
5539,Vuarrens,Gros-de-Vaud
5692,Vucherens,Broye-Vully
5503,Vufflens-la-Ville,Gros-de-Vaud
5653,Vufflens-le-Château,Morges
5937,Vugelles-La Mothe,Yverdon
5766,Vuiteboeuf,Yverdon
5803,Vulliens,Broye-Vully
5654,Vullierens,Morges
5464,Vully-les-lacs,Broye-Vully
5655,Yens,Morges
5938,Yverdon-les-Bains,Yverdon
5939,Yvonand,Yverdon
5415,Yvorne,Aigle
